"","country","group","subgroup","gender","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"66","Sudan","Africa","Northern Africa","m",85736,95040,74974,69121,60992,68308,55692,45121,29083,22055,23137,24205,20200,7669,6021,9031
"67","Tunisia","Africa","Northern Africa","f",970,1032,1071,1214,1675,2115,2206,1995,1675,1334,1099,846,669,432,303,448
"68","Tunisia","Africa","Northern Africa","m",988,1044,1083,1292,1855,2274,2239,1952,1609,1246,1006,763,564,363,257,365
"69","Western Sahara","Africa","Northern Africa","f",62,63,61,66,114,180,182,144,106,71,55,39,29,19,11,21
"70","Western Sahara","Africa","Northern Africa","m",65,67,66,60,127,201,217,185,148,102,78,56,40,22,12,19
"71","Botswana","Africa","Southern Africa","f",1343,1219,1008,719,788,1156,1365,1073,739,527,355,215,160,89,61,79
"72","Botswana","Africa","Southern Africa","m",1283,1235,1053,882,1136,1719,2248,2171,1783,1194,796,476,322,126,77,113
"73","Lesotho","Africa","Southern Africa","f",383,332,297,303,392,448,440,348,273,216,164,119,62,37,34,74
"74","Lesotho","Africa","Southern Africa","m",381,333,295,281,355,461,539,475,376,287,214,152,73,37,29,30
"75","Namibia","Africa","Southern Africa","f",3617,4526,4638,5661,5711,4716,4061,3655,3215,2780,2365,2166,2159,2284,2583,2756
"76","Namibia","Africa","Southern Africa","m",3595,4868,6236,7732,6695,5091,4566,4156,3774,3313,2743,2369,2147,2052,2159,2252
"77","South Africa","Africa","Southern Africa","f",15820,20899,23828,31871,49022,49330,43539,42062,35812,30386,24502,21252,21174,18664,7379,11116
"78","South Africa","Africa","Southern Africa","m",13194,17609,22083,38475,83101,108743,96124,85791,69599,55725,41233,27695,22833,17401,7036,10585
"79","Swaziland","Africa","Southern Africa","f",3446,4083,3401,3169,3144,3261,2910,2142,1831,1563,1153,843,590,444,453,660
"80","Swaziland","Africa","Southern Africa","m",3900,4669,4018,3890,3826,3885,3476,2591,2203,1849,1340,973,676,501,500,695
"81","Benin","Africa","Western Africa","f",3837,3049,3912,5310,5532,4151,3102,2094,1267,857,475,472,578,547,410,527
"82","Benin","Africa","Western Africa","m",3792,2848,3480,4963,5734,4875,4042,2997,1953,1398,815,782,794,604,453,562
"83","Burkina Faso","Africa","Western Africa","f",15868,41036,32136,25445,17732,14274,9925,7390,5177,3564,2774,2016,1688,1397,558,841
"84","Burkina Faso","Africa","Western Africa","m",16077,42237,33354,24366,14662,10462,6967,5273,3859,2806,2340,1750,1426,1129,452,676
"85","Cabo Verde","Africa","Western Africa","f",197,393,578,786,653,591,555,306,118,56,46,40,67,58,23,35
"86","Cabo Verde","Africa","Western Africa","m",205,406,593,812,686,596,499,259,109,58,48,40,54,32,13,19
"87","C�te d'Ivoire","Africa","Western Africa","f",33323,40941,47489,99568,155462,147384,105727,69811,42738,26207,15306,8993,6188,3488,1588,464
"88","C�te d'Ivoire","Africa","Western Africa","m",27394,30809,32825,74482,141287,171680,151163,122592,90244,65541,44138,27561,17322,9449,4137,1125
"89","Gambia","Africa","Western Africa","f",5918,5334,4656,7028,7718,7185,4855,2614,1836,1412,1106,644,515,406,231,359
"90","Gambia","Africa","Western Africa","m",5995,5015,4012,6008,7866,9552,7972,4994,4039,3226,2698,1579,1263,860,492,735
"91","Ghana","Africa","Western Africa","f",11843,12681,10983,9524,6767,5895,4861,3991,3509,2683,2132,1524,1485,1054,959,1930
"92","Ghana","Africa","Western Africa","m",12039,12474,10474,8913,6218,5447,4531,3878,3707,3025,2522,1862,1987,1614,1448,2891
"93","Guinea","Africa","Western Africa","f",22400,23463,27121,23390,20254,17535,14536,11736,9711,7930,6817,6320,4611,2509,1872,2156
"94","Guinea","Africa","Western Africa","m",20697,24043,28571,24002,20114,17364,14758,12296,10363,8480,7241,6635,2849,1528,1075,1244
"95","Guinea-Bissau","Africa","Western Africa","f",1052,960,931,960,884,787,577,409,256,214,173,122,139,97,48,70
"96","Guinea-Bissau","Africa","Western Africa","m",1085,972,899,817,676,672,607,507,340,284,231,154,181,127,64,73
"97","Liberia","Africa","Western Africa","f",5723,5858,5932,4959,4372,3770,2851,2160,1518,1076,774,542,419,353,337,396
"98","Liberia","Africa","Western Africa","m",5271,5301,5157,5793,6537,6556,5422,4364,3141,2161,1447,924,626,454,376,394
"99","Mali","Africa","Western Africa","f",11601,4998,8723,9289,7249,6729,6709,4992,4548,3072,2750,1959,1703,1322,1161,1882
"100","Mali","Africa","Western Africa","m",12685,5649,9953,9793,6750,5746,5667,4611,4521,3442,3280,2381,2047,1553,1494,2477
"101","Mauritania","Africa","Western Africa","f",7154,5728,5776,5039,6863,6856,5148,3045,2103,1552,1472,1068,846,476,408,547
"102","Mauritania","Africa","Western Africa","m",6953,7925,4343,6098,5829,7010,5895,4433,2512,1743,1522,1213,927,548,266,352
"103","Niger","Africa","Western Africa","f",3443,5075,4890,6356,7800,7910,6650,5150,3728,2734,1896,1248,1061,818,643,840
"104","Niger","Africa","Western Africa","m",3349,4617,4048,4372,4984,5670,5679,5079,4181,3424,2780,1985,1663,1191,995,1205
"105","Nigeria","Africa","Western Africa","f",55543,26119,14346,14959,20583,23806,16287,10076,6323,3887,3096,1498,1492,640,711,1089
"106","Nigeria","Africa","Western Africa","m",57410,27737,14769,15316,22387,31197,27861,20250,14386,8408,6842,2976,2845,1073,1105,1604
"107","Senegal","Africa","Western Africa","f",7472,8159,9916,14231,17474,16963,14834,10801,7757,5982,5008,3619,3178,1955,1778,2443
"108","Senegal","Africa","Western Africa","m",7629,9708,12819,14146,15575,15432,13400,11143,9894,8044,6992,5567,3418,1872,1444,1757
"109","Sierra Leone","Africa","Western Africa","f",14927,16045,12266,10127,9309,9060,7437,4943,4043,3327,2341,1561,956,778,767,1302
"110","Sierra Leone","Africa","Western Africa","m",14396,16325,13311,12487,12980,13175,11153,7832,6226,4853,3319,2167,1296,979,974,1580
"111","Togo","Africa","Western Africa","f",6115,6369,6067,4490,4088,3935,2838,2197,1467,1239,944,514,568,387,258,465
"112","Togo","Africa","Western Africa","m",5346,6045,6280,4496,3804,3726,3226,2831,2026,1631,1192,661,596,424,196,423
"113","Kazakhstan","Asia","Central Asia","f",52179,65263,85067,101086,104483,118737,148216,180690,186304,155010,146147,147845,132328,123626,82416,123639
"114","Kazakhstan","Asia","Central Asia","m",43741,54208,70519,88017,95830,108340,128781,158235,181260,165751,146508,128878,125911,82198,35197,52790
"115","Kyrgyzstan","Asia","Central Asia","f",10968,13805,15715,18974,21323,25889,31189,33971,33042,29743,26660,25826,23898,24597,12297,14770
"116","Kyrgyzstan","Asia","Central Asia","m",10563,13220,14868,16537,16792,18897,22328,24275,23257,20408,17660,16511,15120,14278,7140,8562
"117","Tajikistan","Asia","Central Asia","f",4826,6065,7907,9940,10931,12779,15859,19519,21209,19516,17071,16451,18730,19632,20469,19868
"118","Tajikistan","Asia","Central Asia","m",5128,6335,8244,9693,9866,10793,12888,15650,16928,15489,13294,12261,13018,12876,13024,12641
"119","Turkmenistan","Asia","Central Asia","f",3688,4318,5600,7121,8479,10045,11902,14051,15082,13976,12194,11550,12881,13518,13105,14816
"120","Turkmenistan","Asia","Central Asia","m",3685,4724,5849,6937,7578,8342,9529,11168,11989,11039,9511,8647,8957,8772,7808,9639
"121","Uzbekistan","Asia","Central Asia","f",19201,22411,29794,37696,42106,49094,60518,74265,81333,76043,66721,63653,69219,69857,76640,90831
