"","country","group","subgroup","gender","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"206","Syrian Arab Republic","Asia","Western Asia","m",22249,18234,13181,10124,29938,63169,71059,58160,39249,21269,10720,3946,1729,475,374,201
"207","Turkey","Asia","Western Asia","f",29004,33820,54003,71660,81615,81203,65284,44519,29256,22155,18744,17252,16586,6224,5333,9699
"208","Turkey","Asia","Western Asia","m",34049,39407,59436,74107,77747,74188,58402,40491,27060,21300,18481,17249,16073,5846,4848,8645
"209","United Arab Emirates","Asia","Western Asia","f",42675,43941,36652,21572,43737,49164,48099,36550,26508,12580,5713,3080,1630,1164,727,736
"210","United Arab Emirates","Asia","Western Asia","m",47530,49475,42578,32351,89138,123882,167696,150995,105534,69642,32001,13423,4392,1901,816,692
"211","Yemen","Asia","Western Asia","f",8781,9486,5709,4897,4457,3918,3228,2651,2236,1883,1485,1030,656,714,285,437
"212","Yemen","Asia","Western Asia","m",7464,9243,6417,6597,7015,6753,5736,4670,3858,3251,2573,1628,732,540,216,317
"213","Belarus","Europe","Eastern Europe","f",13679,16743,26551,41479,55182,70048,66928,60121,51178,48760,44554,40313,45991,27193,22342,45894
"214","Belarus","Europe","Eastern Europe","m",14930,17332,26061,38993,48725,60787,59417,54426,45260,42642,39883,35552,34374,21540,10231,21868
"215","Bulgaria","Europe","Eastern Europe","f",516,537,645,754,1022,1162,1480,1673,1495,1077,644,422,322,219,204,291
"216","Bulgaria","Europe","Eastern Europe","m",549,584,709,816,1073,1105,1213,1121,715,382,241,193,127,70,69,80
"217","Czech Republic","Europe","Eastern Europe","f",234,594,898,1027,1598,2346,3154,3742,4132,5094,4588,5708,4796,4181,4380,6517
"218","Czech Republic","Europe","Eastern Europe","m",320,815,1237,1372,2109,3042,3972,4370,4713,5976,5769,7012,4788,4335,3692,3883
"219","Hungary","Europe","Eastern Europe","f",5374,5863,7771,10613,14353,14093,13204,11375,10138,9128,9318,12446,12698,11426,12285,31240
"220","Hungary","Europe","Eastern Europe","m",5980,6421,8344,10750,13566,12889,12116,10309,8768,7595,7696,10010,9293,7868,7752,16828
"221","Poland","Europe","Eastern Europe","f",9042,12530,13920,13128,16109,18008,19900,19492,19510,25001,52930,70313,78907,74954,63420,138431
"222","Poland","Europe","Eastern Europe","m",7048,9744,10968,10706,13579,15168,16496,16518,17760,23840,48600,57402,59881,52755,40566,81145
"223","Republic of Moldova","Europe","Eastern Europe","f",7682,5773,8248,11299,12475,13038,15476,20871,27275,30698,28791,24434,21460,19785,18982,38259
"224","Republic of Moldova","Europe","Eastern Europe","m",7865,6663,9316,12485,13311,13110,14524,18475,23163,25031,22198,17379,13773,11499,10370,20454
"225","Romania","Europe","Eastern Europe","f",407,149,162,268,396,255,364,504,576,4826,8957,10608,10047,11102,9454,20149
"226","Romania","Europe","Eastern Europe","m",421,180,187,266,374,413,598,505,609,4409,7888,8988,8136,8076,6318,10233
"227","Russian Federation","Europe","Eastern Europe","f",95318,219429,359987,398139,449929,501844,527646,585381,529594,477256,317919,370550,340433,195776,179328,320997
"228","Russian Federation","Europe","Eastern Europe","m",103939,237614,387191,430666,496365,565652,602165,663638,584993,504434,285126,275428,204051,104131,79703,130326
"229","Slovakia","Europe","Eastern Europe","f",145,384,452,648,871,1123,1215,1422,1893,1367,1193,1499,3604,2229,1955,3108
"230","Slovakia","Europe","Eastern Europe","m",165,421,482,668,853,1036,1096,1307,1762,1223,982,1111,2543,1534,1214,1790
"231","Ukraine","Europe","Eastern Europe","f",42582,89912,149674,184213,203900,239205,295007,343310,354699,338087,305220,268716,247055,258703,272840,346194
"232","Ukraine","Europe","Eastern Europe","m",44222,91763,147421,173848,183934,207239,248028,282442,287531,271125,239172,195782,155390,137868,129430,158408
